abcdefghijklmnopqrstuvwxyz	abcdefghijklmnopqrstuvwxyz/SL
여명이상씩	여/XSN + 명/NNB + 이상/NNG + 씩/XSN
여억원어치	여/XSN + 억/NR + 원/NNB + 어치/NNG
여킬로미터	여/XSN + 킬로미터/NNB
우리은행배	우리은행/NNP + 배/NNG
원이하형때	원/NNB + 이하/NNG + 형/NNG + 때/NNG
월결산기업	월/NNB + 결산/NNG + 기업/NNG
월유엔총회	월/NNB + 유엔총회/NNP
월임시국회	월/NNB + 임시/NNG + 국회/NNG
월전당대회	월/NNB + 전당/NNG + 대회/NNG
월전역조처	월/NNB + 전역/NNG + 조처/NNG
음성사서함	음성/NNG + 사서함/NNG
인지배체제	인/NNG + 지배/NNG + 체제/NNG
인터내셔널	인터내셔널/NNG
대불가사의	대/NNG + 불가사의/NNG
자유학예과	자유/NNG + 학예/NNG + 과/NNG
제곱미터쯤	제곱미터/NNB + 쯤/XSN
제곱인치당	제곱/NNG + 인치/NNB + 당/XSN
금당일탑식	금당/NNG + 일탑식/NNG
기가바이트	기가바이트/NNB
기가헤르츠	기가/NNG + 헤르츠/NNB
조정위원장	조정/NNG + 위원장/NNG
주년기념관	주년/NNB + 기념관/NNG
중추돌사고	중/NNG + 추돌/NNG + 사고/NNG
차공천작업	차/NNB + 공천/NNG + 작업/NNG
차금속산업	차/NNB + 금속/NNG + 산업/NNG
차단체협상	차/NNB + 단체/NNG + 협상/NNG
차분담금중	차/NNB + 분담금/NNG + 중/NNB
차세계대전	차/NNB + 세계/NNG + 대전/NNG
차신경활성	차/NNB + 신경/NNG + 활성/NNG
차의료기관	차/NNB + 의료/NNG + 기관/NNG
차진료기능	차/NNB + 진료/NNG + 기능/NNG
대총선대책	대/NNB + 총선/NNG + 대책/NNG
도연합의병	도/NNG + 연합/NNG + 의병/NNG
가구1주택	가구/NNG + 1/SN + 주택/NNG
천달러짜리	천/NR + 달러/NNB + 짜리/XSN
천리엘짜리	천/NR + 리엘/NNB + 짜리/XSN
천만원어치	천만/NR + 원/NNB + 어치/NNG
천만원요구	천만/NR + 원/NNB + 요구/NNG
천만원정도	천만/NR + 원/NNB + 정도/NNG
천만원짜리	천만/NR + 원/NNB + 짜리/XSN
천억원어치	천억/NR + 원/NNB + 어치/NNG
천여만원씩	천/NR + 여/XSN + 만/NR + 원/NNB + 씩/XSN
천km이하	천/NR + km/SL + 이하/NNG
추진협의회	추진/NNG + 협의회/NNG
층지창책장	층/NNG + 지창/NNG + 책장/NNG
치안서비스	치안/NNG + 서비스/NNG
캐나다달러	캐나다/NNP + 달러/NNB
킬로그램당	킬로그램/NNB + 당/XSN
킬로그램쯤	킬로그램/NNB + 쯤/XSN
킬로미터씩	킬로미터/NNB + 씩/XSN
킬로미터쯤	킬로미터/NNB + 쯤/XSN
킬로바이트	킬로바이트/NNB
킬로칼로리	킬로칼로리/NNB
타수1안타	타수/NNG + 1/SN + 안타/NNG
파운드짜리	파운드/NNB + 짜리/XSN
퍼센트가량	퍼센트/NNB + 가량/NNG
페이지짜리	페이지/NNG + 짜리/XSN
평방미터당	평방미터/NNB + 당/XSN
프레임짜리	프레임/NNG + 짜리/XSN
한일월드컵	한일/NNP + 월드컵/NNG
함대사령관	함대/NNG + 사령관/NNG
함대사령부	함대/NNG + 사령부/NNG
헥토파스칼	헥토파스칼/NNG
회생일파티	회/NNB + 생일/NNG + 파티/NNG
being	being/SL
D業種忌避	D/SL + 業種忌避/SH
TV코리아	TV/SL + 코리아/NNP
units	units/SL
wtour	wtour/SL
달러어치	달러/NNB + 어치/NNG
달러짜리	달러/NNB + 짜리/XSN
공비자금	공/NNG + 비자금/NNG
만냥짜리	만/NR + 냥/NNB + 짜리/XSN
만년전경	만/NR + 년/NNB + 전/NNG + 경/XSN
만루피아	만/NR + 루피아/NNB
만마르크	만/NR + 마르크/NNB
만배럴씩	만/NR + 배럴/NNB + 씩/XSN
만상자씩	만/NR + 상자/NNG + 씩/XSN
만세시위	만세/NNG + 시위/NNG
만에이커	만/NR + 에이커/NNB
만여건씩	만/NR + 여/XSN + 건/NNB + 씩/XSN
만여마리	만/NR + 여/XSN + 마리/NNB
만여명線	만/NR + 여/XSN + 명/NNB + 線/SH
만여Km	만/NR + 여/XSN + Km/SL
만원가량	만/NR + 원/NNB + 가량/NNG
마지기당	마지기/NNB + 당/XSN
만원어치	만/NR + 원/NNB + 어치/NNG
만원이상	만/NR + 원/NNB + 이상/NNG
만원정도	만/NR + 원/NNB + 정도/NNG
만원짜리	만/NR + 원/NNB + 짜리/XSN
만케이스	만/NR + 케이스/NNG
만파운드	만/NR + 파운드/NNB
만평규모	만/NR + 평/NNB + 규모/NNG
만평짜리	만/NR + 평/NNB + 짜리/XSN
만포인트	만/NR + 포인트/NNG
마지기반	마지기/NNB + 반/NNG
만CGT	만/NR + CGT/SL
만kw급	만/NR + kw/SL + 급/NNG
마지기씩	마지기/NNB + 씩/XSN
메가와트	메가와트/NNG
명가운데	명/NNB + 가운데/NNG
명정도씩	명/NNB + 정도/NNG + 씩/XSN
모작지대	모작/NNG + 지대/NNG
미터짜리	미터/NNB + 짜리/XSN
밀리그램	밀리그램/NNB
밀리리터	밀리리터/NNG
밀리미터	밀리미터/NNB
반세기여	반세기/NNG + 여/XSN
등항해사	등/NNB + 항해사/NNG
결합원칙	결합/NNG + 원칙/NNG
년간이란	년/NNB + 간/NNG + 이란/NNP
당연립틀	당/NNG + 연립/NNG + 틀/NNG
경기연속	경기/NNG + 연속/NNG
당총재간	당/NNG + 총재/NNG + 간/NNB
경비단장	경비/NNG + 단장/NNG
로케트탄	로케트탄/NNG
공정권때	공/NNG + 정권/NNG + 때/NNG
롯데월드	롯데월드/NNP
공정권하	공/NNG + 정권하/NNG
년대이래	년대/NNB + 이래/NNB
백기이하	백/NR + 기/NNB + 이하/NNG
백년동안	백/NR + 년/NNB + 동안/NNG
백대기업	백/NR + 대/XSN + 기업/NNG
백마리씩	백/NR + 마리/NNP + 씩/XSN
백만가지	백만/NR + 가지/NNB
백만개쯤	백만/NR + 개/NNB + 쯤/XSN
백만달러	백만/NR + 달러/NNB
百萬달러	百萬/SH + 달러/NNB
백만여원	백만/NR + 여/XSN + 원/NNB
백만여주	백만/NR + 여/XSN + 주/NNG
백만원대	백만/NR + 원/NNB + 대/XSN
백만원선	백만/NR + 원/NNB + 선/NNG
백만원씩	백만/NR + 원/NNB + 씩/XSN
백만원쯤	백만/NR + 원/NNB + 쯤/XSN
경찰서측	경찰서/NNG + 측/NNB
백명가량	백/NR + 명/NNB + 가량/NNG
백명이상	백/NR + 명/NNB + 이상/NNG
백명정도	백/NR + 명/NNB + 정도/NNG
백살짜리	백/NR + 살/NNB + 짜리/XSN
백억달러	백억/NR + 달러/NNB
백억여원	백억/NR + 여/XSN + 원/NNB
백억원대	백억/NR + 원/NNB + 대/XSN
백억원씩	백억/NR + 원/NNB + 씩/XSN
백억원중	백억/NR + 원/NNB + 중/NNB
백여가구	백/NR + 여/XSN + 가구/NNG
백여가지	백/NR + 여/XSN + 가지/NNB
백여개국	백/NR + 여/XSN + 개국/NNB
백여개씩	백/NR + 여/XSN + 개/NNB + 씩/XSN
백여년간	백/NR + 여/XSN + 년/NNB + 간/NNG
백여만명	백/NR + 여/XSN + 만/NR + 명/NNB
백여만병	백/NR + 여/XSN + 만/NR + 병/NNG
백여만섬	백/NR + 여/XSN + 만/NR + 섬/NNB
백여만원	백/NR + 여/XSN + 만/NR + 원/NNB
백여만주	백/NR + 여/XSN + 만/NR + 주/NNG
백여명씩	백/NR + 여/XSN + 명/NNB + 씩/XSN
백여미터	백/NR + 여/XSN + 미터/NNB
백여세대	백/NR + 여/XSN + 세대/NNG
백여시간	백/NR + 여/XSN + 시간/NNG
백여억원	백/NR + 여/XSN + 억/NR + 원/NNB
백여업체	백/NR + 여/XSN + 업체/NNG
백여주민	백/NR + 여/XSN + 주민/NNG
백여통씩	백/NR + 여/XSN + 통/NNB + 씩/XSN
백여편씩	백/NR + 여/XSN + 편/NNB + 씩/XSN
백여표차	백/NR + 여/XSN + 표/NNG + 차/NNG
백여Km	백/NR + 여/XSN + Km/SL
백여m쯤	백/NR + 여/XSN + m/SL + 쯤/XSN
백원짜리	백/NR + 원/NNB + 짜리/XSN
백쪽짜리	백/NR + 쪽/NNG + 짜리/XSN
백파운드	백/NR + 파운드/NNB
백회선분	백/NR + 회선/NNG + 분/XSN
백g짜리	백/NR + g/SL + 짜리/XSN
백m가량	백/NR + m/SL + 가량/NNG
백m정도	백/NR + m/SL + 정도/NNG
백ppm	백/NR + ppm/SL
번아이언	번/NNB + 아이언/NNG
베르스타	베르스타/NNP
