abcdefghijklmnopqrstuvwxyz	abcdefghijklmnopqrstuvwxyz/SL
km2당	km/SL + 2/SN + 당/XSN
km정도	km/SL + 정도/NNG
km지점	km/SL + 지점/NNG
km짜리	km/SL + 짜리/XSN
km행렬	km/SL + 행렬/NNG
m남짓씩	m/SL + 남짓/NNB + 씩/XSN
MBC배	MBC/SL + 배/NNG
Mbps	Mbps/SL
mesh	mesh/SL
mini	mini/SL
ml짜리	ml/SL + 짜리/XSN
mm영화	mm/SL + 영화/NNG
mm이상	mm/SL + 이상/NNG
mm필름	mm/SL + 필름/NNG
mmHg	mmHg/SL
t반짜리	t/SL + 반/NNG + 짜리/XSN
umol	umol/SL
년대쯤	년대/NNB + 쯤/XSN
백억엔	백억/NR + 엔/NNB
백억여	백억/NR + 여/XSN
백억원	백억/NR + 원/NNB
百억원	百/SH + 억/NR + 원/NNB
방송사	방송사/NNG
년대초	년대/NNB + 초/NNB
백억평	백억/NR + 평/NNB
백억t	백억/NR + t/SL
백엔당	백/NR + 엔/NNB + 당/XSN
백여개	백/NR + 여/XSN + 개/NNB
배가량	배/NNG + 가량/NNG
백여건	백/NR + 여/XSN + 건/NNB
백여곳	백/NR + 여/XSN + 곳/NNG
백여년	백/NR + 여/XSN + 년/NNB
백여대	백/NR + 여/XSN + 대/NNB
백여리	백/NR + 여/XSN + 리/NNB
백여만	백/NR + 여/XSN + 만/NR
배이상	배/NNG + 이상/NNG
배정도	배/NNG + 정도/NNG
백여명	백/NR + 여/XSN + 명/NNB
백여발	백/NR + 여/XSN + 발/NNB
백여부	백/NR + 여부/NNG
백여석	백/NR + 여/XSN + 석/NNB
백여실	백/NR + 여/XSN + 실/NNB
백여쌍	백/NR + 여/XSN + 쌍/NNG
백여억	백/NR + 여/XSN + 억/NR
백여장	백/NR + 여/XSN + 장/NNB
백여점	백/NR + 여/XSN + 점/NNB
백여종	백/NR + 여/XSN + 종/NNG
백여척	백/NR + 여/XSN + 척/NNB
백여통	백/NR + 여/XSN + 통/NNB
만대씩	만/NR + 대/NNB + 씩/XSN
백여팀	백/NR + 여/XSN + 팀/NNG
백여평	백/NR + 여/XSN + 평/NNB
백여표	백/NR + 여/XSN + 표/NNG
백여호	백/NR + 여/XSN + 호/NNB
백여회	백/NR + 여/XSN + 회/NNB
백여m	백/NR + 여/XSN + m/SL
년대판	년대/NNB + 판/NNB
백여t	백/NR + 여/XSN + t/SL
백원당	백/NR + 원/NNB + 당/XSN
백원선	백/NR + 원/NNB + 선/NNG
백원씩	백/NR + 원/NNB + 씩/XSN
백위권	백/NR + 위/NNB + 권/XSN
백일간	백/NR + 일/NNB + 간/NNG
백일분	백/NR + 일/NNB + 분/XSN
백장씩	백/NR + 장/NNB + 씩/XSN
백조원	백조/NR + 원/NNB
백주년	백/NR + 주년/NNB
백켤레	백/NR + 켤레/NNB
백톤급	백/NR + 톤/NNB + 급/NNG
백프랑	백/NR + 프랑/NNB
백海里	백/NR + 海里/SH
백화점	백화점/NNG
백회선	백/NR + 회선/NNG
백cc	백/NR + cc/SL
백g당	백/NR + g/SL + 당/XSN
백g대	백/NR + g/SL + 대/NNG
당1회	당/NNG + 1/SN + 회/NNB
백kg	백/NR + kg/SL
백km	백/NR + km/SL
백Km	백/NR + Km/SL
만마리	만/NR + 마리/NNB
년대풍	년대/NNB + 풍/XSN
백m당	백/NR + m/SL + 당/XSN
만마일	만/NR + 마일/NNB
백m쯤	백/NR + m/SL + 쯤/XSN
백mm	백/NNG + mm/SL
백MW	백/NR + MW/SL
마일쯤	마일/NNB + 쯤/NNG
백t씩	백/NR + t/SL + 씩/XSN
번국도	번/NNB + 국도/NNG
번시드	번/NNB + 시드/NNG
백11	백/NR + 11/SN
번우드	번/NNB + 우드/NNG
번이상	번/NNB + 이상/NNG
번째간	번/NNB + 째/XSN + 간/NNG
번째쯤	번/NNB + 째/XSN + 쯤/NNG
번째쯤	번/NNB + 째/XSN + 쯤/XSN
번타자	번/NNB + 타자/NNG
범이것	범/XPN + 이/NNP + 것/NNB
년도분	년도/NNB + 분/XSN
베이징	베이징/NNP
병들이	병/NNG + 들이/XSN
보1배	보/NNB + 1/SN + 배/NNG
보안대	보안대/NNG
보충대	보충/NNG + 대/NNG
보충대	보충대/NNG
복음서	복음서/NNG
부1속	부/NNG + 1/SN + 속/NNB
부경기	부/NNB + 경기/NNG
부능선	부능선/NNG
부단독	부/NNB + 단독/NNG
부리그	부/NNB + 리그/NNG
부부장	부부장/NNG
부속실	부속실/NNG
부요인	부/NNG + 요인/NNG
부장관	부/NNG + 장관/NNG
부종사	부/NNG + 종사/NNG
부짜리	부/NNB + 짜리/XSN
부총리	부총리/NNG
부투어	부/NNB + 투어/NNG
부합동	부/NNG + 합동/NNG
년도판	년도/NNB + 판/NNG
디나르	디나르/NNB
년동안	년/NNB + 동안/NNG
만명당	만/NR + 명/NNB + 당/XSN
만명선	만/NR + 명/NNB + 선/NNG
만명씩	만/NR + 명/NNB + 씩/XSN
가구당	가구/NNG + 당/XSN
만바트	만/NR + 바트/NNP
분가량	분/NNB + 가량/NNG
분간격	분/NNB + 간격/NNG
분간씩	분/NNB + 간/NNG + 씩/XSN
분거리	분/NNB + 거리/NNG
분기내	분기/NNG + 내/NNB
분기중	분기/NNG + 중/NNB
분기쯤	분기/NNG + 쯤/XSN
분뉴스	분/NNB + 뉴스/NNG
분동안	분/NNB + 동안/NNG
분발언	분/NNB + 발언/NNG
분법적	분법/NNG + 적/XSN
분사열	분/NNG + 사/NR + 열/NNG
분여간	분/NNB + 여/XSN + 간/NNG
분여만	분여/NNG + 만/NNB
분이내	분/NNB + 이내/NNG
분이상	분/NNB + 이상/NNG
분정도	분/NNB + 정도/NNG
분짜리	분/NNB + 짜리/XSN
분폭리	분/XSN + 폭리/NNG
공사업	공/NNG + 사업/NNG
불짜리	불/NNB + 짜리/XSN
블록슛	블록/NNG + 슛/NNG
비서관	비서관/NNG
공청산	공/NNG + 청산/NNG
만배럴	만/NR + 배럴/NNB
비트씩	비트/NNB + 씩/XSN
비트용	비트/NNB + 용/XSN
사나흘	사나흘/NNG
사단장	사단장/NNG
사사구	사사구/NNG
당대표	당/NNG + 대표/NNG
사이즈	사이즈/NNG
사이클	사이클/NNG
사체제	사/NNG + 체제/NNG
사흘째	사흘/NNG + 째/XSN
삭망월	삭망월/NNG
살박이	살/NNB + 박이/XSN
살배기	살/NNB + 배기/XSN
살소녀	살/NNB + 소녀/NNG
살이상	살/NNB + 이상/NNG
살짜리	살/NNB + 짜리/XSN
상자당	상자/NNG + 당/XSN
상회의	상/NNG + 회의/NNG
색과실	색/NNG + 과실/NNG
색과일	색/NNG + 과일/NNG
色선율	色/SH + 선율/NNG
만번째	만/NR + 번/NNB + 째/XSN
서방님	서방/NNG + 님/XSN
서비스	서비스/NNG
석가량	석/NNB + 가량/NNG
석지기	석/NNB + 지기/NNG
석짜리	석/NNB + 짜리/XSN
선개헌	선/NNG + 개헌/NNG
선거구	선거구/NNG
선고지	선/NNB + 고지/NNG
선생님	선생/NNG + 님/XSN
選手團	選手團/SH
선운동	선/NNG + 운동/NNG
선의원	선/NNB + 의원/NNG
선이상	선/NNG + 이상/NNG
선취임	선/NNG + 취임/NNG
성장군	성/NNG + 장군/NNG
세계적	세계/NNG + 적/XSN
세교육	세/NNB + 교육/NNG
세기간	세기/NNG + 간/NNB
세기간	세기간/NNG
세기경	세기/NNG + 경/XSN
세기께	세기/NNG + 께/XSN
세기만	세기/NNG + 만/NNB
세기말	세기말/NNG
世紀末	世紀末/SH
만봉투	만/NR + 봉투/NNG
세기사	세기/NNG + 사/NNG
세기식	세기/NNG + 식/NNB
세기적	세기/NNG + 적/XSN
세기전	세기/NNG + 전/NNG
세기쯤	세기/NNG + 쯤/XSN
세기초	세기/NNG + 초/NNB
세기파	세기/NNG + 파/NNG
세기형	세기/NNG + 형/XSN
世紀化	世紀化/SH
세대중	세대/NNG + 중/NNG
세들이	세/NNB + 들이/XSN
세리씩	세리/NNB + 씩/XSN
세미만	세/NNB + 미만/NNG
세이브	세이브/NNG
세이상	세/NNB + 이상/NNG
세짜리	세/NNB + 짜리/XSN
세출산	세/NNB + 출산/NNG
세포기	세포기/NNG
센트씩	센트/NNB + 씩/XSN
센티쯤	센티/NNB + 쯤/XSN
소경체	소경체/NNG
소대장	소대장/NNG
속정도	속/NNB + 정도/NNG
손가락	손가락/NNG
손자놈	손자/NNG + 놈/NNB
수년간	수년/NNG + 간/NNG
수년만	수년/NNG + 만/NNB
수만원	수만/NR + 원/NNB
수사대	수사대/NNG
수십년	수십/NR + 년/NNB
수차례	수차례/NNG
순노모	순/NNG + 노모/NNG
순노인	순/NNG + 노인/NNG
旬老母	旬老母/SH
순찰차	순찰차/NNG
숟가락	숟가락/NNG
만섬당	만/NR + 섬/NNB + 당/XSN
만세대	만/NR + 세대/NNG
黨代表	黨代表/SH
마일쯤	마일/NNB + 쯤/XSN
년만기	년/NNB + 만기/NNG
루땅볼	루/NNG + 땅볼/NNG
담당관	담당관/NNG
개부문	개/NNB + 부문/NNG
만여개	만/NR + 여/XSN + 개/NNB
마장쯤	마장/NNB + 쯤/XSN
게임씩	게임/NNG + 씩/XSN
라디오	라디오/NNG
만여건	만/NR + 여/XSN + 건/NNB
라운드	라운드/NNG
등주자	등/NNB + 주자/NNG
년말경	년/NNB + 말/NNB + 경/XSN
년말대	년/NNB + 말/NNB + 대/XSN
년맞이	년/NNB + 맞이/NNG
만여권	만/NR + 여/XSN + 권/NNB
만여년	만/NR + 여/XSN + 년/NNB
共淸算	共淸算/SH
만여대	만/NR + 여/XSN + 대/NNB
개대학	개/NNB + 대학/NNG
만여명	만/NR + 여/XSN + 명/NNB
년반만	년/NNB + 반/NNG + 만/NNB
만여석	만/NR + 여/XSN + 석/NNB
만여실	만/NR + 여/XSN + 실/NNG
공세력	공/NNG + 세력/NNG
만여원	만/NR + 여/XSN + 원/NNB
마지기	마지기/NNB
만여장	만/NR + 여/XSN + 장/NNB
만여점	만/NR + 여/XSN + 점/NNB
년사이	년/NNB + 사이/NNG
만여정	만/NR + 여/XSN + 정/NNB
강대결	강/NNG + 대결/NNG
만여종	만/NR + 여/XSN + 종/NNG
만여주	만/NR + 여/XSN + 주/NNG
만여컷	만/NR + 여/XSN + 컷/NNG
만여평	만/NR + 여/XSN + 평/NNB
개도시	개/NNB + 도시/NNG
개분야	개/NNB + 분야/NNG
년선배	년/NNB + 선배/NNG
년선생	년/NNB + 선생/NNG
계절색	계절/NNG + 색/NNG
만여t	만/NR + 여/XSN + t/SL
공초기	공/NNG + 초기/NNG
계절중	계절/NNG + 중/NNB
개사당	개/NNB + 사/NNG + 당/XSN
개사씩	개/NNB + 사/NNG + 씩/XSN
담배갑	담배/NNG + 갑/NNG
시간내	시간/NNB + 내/NNB
시간당	시간/NNB + 당/XSN
시간대	시간대/NNG
만원권	만/NR + 원/NNB + 권/NNG
시간뒤	시간/NNB + 뒤/NNG
시간만	시간/NNB + 만/NNB
시간만	시간/NNB + 만/NNB
만원권	만/NR + 원/NNB + 권/XSN
시간반	시간/NNB + 반/NNG
시간분	시간/NNB + 분/NNB
시간씩	시간/NNB + 씩/XSN
시간씩	시간/NNG + 씩/XSN
시간여	시간/NNB + 여/XSN
시간여	시간/NNG + 여/XSN
시간전	시간/NNB + 전/NNG
시간전	시간/NNB + 전/NNG
만원꼴	만/NR + 원/NNB + 꼴/XSN
만원대	만/NR + 원/NNB + 대/NNB
시간제	시간/NNG + 제/XSN
시간중	시간/NNB + 중/NNB
시간째	시간/NNG + 째/XSN
시간쯤	시간/NNB + 쯤/NNG
시경쯤	시/NNB + 경/XSN + 쯤/NNG
시그마	시그마/NNG
시뉴스	시/NNB + 뉴스/NNG
시리즈	시리즈/NNG
개사중	개/NNB + 사/NNG + 중/NNB
시반경	시/NNB + 반/NNG + 경/XSN
시반쯤	시/NNB + 반/NNG + 쯤/XSN
시이후	시/NNB + 이후/NNG
시즌간	시즌/NNG + 간/NNG
시출근	시/NNB + 출근/NNG
시현재	시/NNB + 현재/NNG
실링씩	실링/NNB + 씩/XSN
심무죄	심/NNG + 무/XPN + 죄/NNG
심법원	심/NNG + 법원/NNG
심재판	심/NNG + 재판/NNG
만원선	만/NR + 원/NNB + 선/NNG
십만명	십만/NR + 명/NNB
달체불	달/NNB + 체불/NNG
만원씩	만/NR + 원/NNB + 씩/XSN
쎈티씩	쎈티/NNB + 씩/XSN
달러씩	달러/NNB + 씩/XSN
당독재	당/NNG + 독재/NNG
아들네	아들/NNG + 네/XSN
아버지	아버지/NNG
아시안	아시안/NNG
만원외	만/NR + 원/NNB + 외/NNG
아울렛	아울렛/NNG
아테네	아테네/NNP
안렌즈	안/NNG + 렌즈/NNG
류광대	류/XSN + 광대/NNG
야드선	야드/NNG + 선/NNG
백2실	백/NR + 2/SN + 실/NNG
야드쯤	야드/NNB + 쯤/XSN
약사제	약사/NNG + 제/XSN
양동이	양동이/NNG
양주류	양주/NNG + 류/XSN
양화점	양화점/NNG
공화국	공화국/NNG
개星霜	개/NNB + 星霜/SH
共和國	共和國/SH
개소씩	개소/NNB + 씩/XSN
류국가	류/XSN + 국가/NNG
개市銀	개/NNB + 市銀/SH
량가구	량/NNB + 가구/NNG
각추형	각추/NNG + 형/XSN
과목씩	과목/NNG + 씩/XSN
개업체	개/NNB + 업체/NNG
관편성	관/NNG + 편성/NNG
광고팀	광고/NNG + 팀/NNG
각편대	각/NNG + 편대/NNG
개들이	개/NNB + 들이/XSN
만원쯤	만/NR + 원/NNB + 쯤/XSN
만위안	만/NR + 위안/NNB
강신화	강/NNG + 신화/NNG
강외교	강/NNG + 외교/NNG
게임째	게임/NNG + 째/XSN
만유로	만/NR + 유로/NNB
류수준	류/XSN + 수준/NNG
만이상	만/NR + 이상/NNG
대가수	대/XPN + 가수/NNG
류인생	류/XSN + 인생/NNG
량가구	량/NNG + 가구/NNG
구급대	구급대/NNG
대강령	대/NNB + 강령/NNG
구매장	구매장/NNG
개월간	개월/NNB + 간/NNB
계파간	계파/NNG + 간/NNB
개월간	개월/NNB + 간/NNG
대강령	대/NNG + 강령/NNG
개월경	개월/NNB + 경/XSN
각형석탑	각형/NNG + 석탑/NNG
대계열	대/NNG + 계열/NNG
대고질	대/NNG + 고질/NNG
개월내	개월/NNB + 내/NNB
개월당	개월/NNB + 당/XSN
대과제	대/NNG + 과제/NNG
개교당	개/NNB + 교/NNG + 당/XSN
대교장	대/NNB + 교장/NNG
대국회	대/NNB + 국회/NNG
개월래	개월/NNB + 래/NNB
개월만	개월/NNB + 만/NNB
개월분	개월/NNB + 분/XSN
개월씩	개월/NNB + 씩/XSN
代국회	代/SH + 국회/NNG
구조대	구조대/NNG
개월여	개월/NNB + 여/XSN
년여간	년/NNB + 여/XSN + 간/NNG
만장씩	만/NR + 장/NNB + 씩/XSN
대그룹	대/XPN + 그룹/NNG
대기업	대/XPN + 기업/NNG
대기업	대/XSN + 기업/NNG
년여만	년/NNB + 여/XSN + 만/NNB
개월용	개월/NNB + 용/XSN
개월전	개월/NNB + 전/NNG
년여전	년/NNB + 여/XSN + 전/NNG
대대장	대대장/NNG
대덕목	대/XSN + 덕목/NNG
개월째	개월/NNB + 째/XSN
개월쯤	개월/NNB + 쯤/NNG
가마니	가마니/NNG
개월쯤	개월/NNB + 쯤/XSN
국정부	국/NNG + 정부/NNG
대도시	대/XPN + 도시/NNG
간구조	간/NNB + 구조/NNG
개교씩	개/NNB + 교/NNG + 씩/XSN
년여째	년/NNB + 여/XSN + 째/XSN
년여쯤	년/NNB + 여/XSN + 쯤/NNG
만켤레	만/NR + 켤레/NNB
개월치	개월/NNB + 치/XSN
국회담	국/NNG + 회담/NNG
대명장	대/NNG + 명장/NNG
개이상	개/NNB + 이상/NNG
개작품	개/NNB + 작품/NNG
당야합	당/NNG + 야합/NNG
년연속	년/NNB + 연속/NNG
년연장	년/NNB + 연장/NNG
년요양	년/NNB + 요양/NNG
대목표	대/NNG + 목표/NNG
군단장	군단장/NNG
군데쯤	군데/NNB + 쯤/XSN
개재벌	개/NNB + 재벌/NNG
년이내	년/NNB + 이내/NNG
개정도	개/NNB + 정도/NNG
년이래	년/NNB + 이래/NNB
년이상	년/NNB + 이상/NNG
대문안	대문/NNG + 안/NNG
억개비	억/NR + 개비/NNG
억달러	억/NR + 달러/NNB
年이상	年/SH + 이상/NNG
년이후	년/NNB + 이후/NNG
억바트	억/NR + 바트/NNP
억불꼴	억/NR + 불/NNB + 꼴/XSN
억불씩	억/NR + 불/NNB + 씩/XSN
억불탑	억/NR + 불/NNB + 탑/NNG
억비트	억/NR + 비트/NNB
대문화	대/NNB + 문화/NNG
억어치	억/NR + 어치/NNG
억여명	억/NR + 여/XSN + 명/NNB
억여원	억/NR + 여/XSN + 원/NNB
달러선	달러/NNB + 선/NNG
억원당	억/NR + 원/NNB + 당/XSN
억원대	억/NR + 원/NNB + 대/XSN
억원선	억/NR + 원/NNB + 선/NNG
억원씩	억/NR + 원/NNB + 씩/XSN
억원중	억/NR + 원/NNB + 중/NNB
共비리	共/SH + 비리/NNG
억원쯤	억/NR + 원/NNB + 쯤/XSN
억위안	억/NR + 위안/NNB
억짜리	억/NR + 짜리/XSN
억통화	억/NR + 통화/NNG
억투자	억/NR + 투자/NNG
년전쟁	년/NNB + 전쟁/NNG
언고시	언/NNG + 고시/NNG
언더파	언더/NNG + 파/NNG
언배율	언/NNG + 배율/NNG
언율시	언/NNG + 율시/NNG
언절구	언/NNG + 절구/NNG
에이커	에이커/NNB
엔짜리	엔/NNB + 짜리/XSN
여가구	여/XSN + 가구/NNG
여가지	여/XSN + 가지/NNB
여개국	여/XSN + 개국/NNB
共非理	共非理/SH
여개뿐	여/XSN + 개/NNB + 뿐/NNB
여개사	여/XSN + 개/NNB + 사/NNG
여개소	여/XSN + 개소/NNB
여개월	여/XSN + 개월/NNB
여개인	여/XSN + 개인/NNG
여개층	여/XSN + 개/NNB + 층/NNG
여건씩	여/XSN + 건/NNB + 씩/XSN
여곳씩	여/XSN + 곳/NNG + 씩/XSN
여군데	여/XSN + 군데/NNB
여권중	여/XSN + 권/NNB + 중/NNB
여그루	여/XSN + 그루/NNB
여년간	여/XSN + 년/NNB + 간/NNG
여년만	여/XSN + 년/NNB + 만/NNB
여년씩	여/XSN + 년/NNB + 씩/XSN
여년전	여/XSN + 년/NNB + 전/NNG
여년째	여/XSN + 년/NNB + 째/XSN
여년후	여/XSN + 년/NNB + 후/NNG
여대쯤	여/XSN + 대/NNB + 쯤/XSN
여동생	여동생/NNG
만피트	만/NR + 피트/NNB
년전쯤	년/NNB + 전/NNG + 쯤/XSN
여마리	여/XSN + 마리/NNB
여마일	여/XSN + 마일/NNG
여만개	여/XSN + 만/NR + 개/NNB
공시기	공/NNG + 시기/NNG
여만대	여/XSN + 만/NR + 대/NNB
여만명	여/XSN + 만/NR + 명/NNB
여만부	여/XSN + 만/NR + 부/NNB
여만원	여/XSN + 만/NR + 원/NNB
만헤알	만/NR + 헤알/NNG
여만자	여/XSN + 만/NR + 자/NNG
여만장	여/XSN + 만/NR + 장/NNB
여만주	여/XSN + 만/NR + 주/NNG
여만평	여/XSN + 만/NR + 평/NNB
강의실	강의실/NNG
여명선	여/XSN + 명/NNB + 선/NNG
여명씩	여/XSN + 명/NNB + 씩/XSN
년정도	년/NNB + 정도/NNG
여명중	여/XSN + 명/NNB + 중/NNB
여분간	여/XSN + 분/NNB + 간/NNG
게임차	게임/NNG + 차/NNG
여분만	여/XSN + 분/NNB + 만/NNB
여분씩	여/XSN + 분/NNB + 씩/XSN
여분쯤	여/XSN + 분/NNB + 쯤/XSN
여시간	여/XSN + 시간/NNG
여억개	여/XSN + 억/NR + 개/NNB
여억원	여/XSN + 억/NR + 원/NNB
여업체	여/XSN + 업체/NNG
여일간	여/XSN + 일/NNB + 간/NNG
여일만	여/XSN + 일/NNB + 만/NNB
여점씩	여/XSN + 점/NNB + 씩/XSN
여차례	여/XSN + 차례/NNG
여초간	여/XSN + 초/NNB + 간/NNG
공시대	공/NNG + 시대/NNG
여톤씩	여/XSN + 톤/NNB + 씩/XSN
여통씩	여/XSN + 통/NNG + 씩/XSN
여km	여/XSN + km/SL
여Km	여/XSN + Km/SL
여m씩	여/XSN + m/SL + 씩/XSN
달러쯤	달러/NNB + 쯤/XSN
여m쯤	여/XSN + m/SL + 쯤/XSN
여t씩	여/XSN + t/SL + 씩/XSN
연대장	연대장/NNG
연락방	연락/NNG + 방/NNG
만ha	만/NR + ha/SL
연승자	연승자/NNG
연승째	연승/NNG + 째/XSN
연타석	연타석/NNG
엿새날	엿새/NNG + 날/NNG
예닐곱	예닐곱/NR
만kg	만/NR + kg/SL
만km	만/NR + km/SL
오라비	오라비/NNG
만kW	만/NR + kW/SL
오버파	오버/NNG + 파/NNG
오빠네	오빠/NNG + 네/XSN
올림픽	올림픽/NNG
외국어	외국어/NNG
운영계	운영/NNG + 계/XSN
원가량	원/NNB + 가량/NNG
원벌이	원/NNB + 벌이/NNG
원어찌	원/NNB + 어찌/NNB
원어치	원/NNB + 어치/NNG
원전략	원/NNG + 전략/NNG
원정도	원/NNB + 정도/NNG
원지폐	원/NNB + 지폐/NNG
원짜리	원/NNB + 짜리/XSN
元체제	元/SH + 체제/NNG
만t급	만/NR + t/SL + 급/NNG
만t씩	만/NR + t/SL + 씩/XSN
대봉사	대/NNB + 봉사/NNG
년가량	년/NNB + 가량/NNG
년지기	년/NNB + 지기/NNG
년짜리	년/NNB + 짜리/XSN
년간씩	년/NNB + 간/NNG + 씩/XSN
매짜리	매/NNB + 짜리/XSN
개구단	개/NNB + 구단/NNG
개구역	개/NNB + 구역/NNG
년개정	년/NNB + 개정/NNG
년고도	년/NNB + 고도/NNG
년고찰	년/NNB + 고찰/NNG
년공부	년/NNB + 공부/NNG
며느리	며느리/NNG
월결산	월/NNB + 결산/NNG
륜구동	륜/NNG + 구동/NNG
월공세	월/NNB + 공세/NNG
월관련	월/NNB + 관련/NNG
월구일	월/NNB + 구/NR + 일/NNB
월단체	월/NNB + 단체/NNG
월대선	월/NNB + 대선/NNG
월드컵	월드컵/NNG
월말경	월/NNB + 말/NNB + 경/XSN
월말경	월말/NNG + 경/XSN
월말께	월말/NNG + 께/XSN
월말쯤	월말/NNG + 쯤/XSN
월법인	월/NNB + 법인/NNG
월봉기	월/NNB + 봉기/NNG
월사이	월/NNB + 사이/NNG
월사태	월/NNB + 사태/NNG
월운동	월/NNB + 운동/NNG
월유신	월/NNB + 유신/NNG
月維新	月維新/SH
륜마차	륜/NNG + 마차/NNG
년공주	년/NNB + 공주/NNG
월이래	월/NNB + 이래/NNB
월이후	월/NNB + 이후/NNG
년과정	년/NNB + 과정/NNG
월중순	월/NNB + 중순/NNG
월초께	월/NNB + 초/NNB + 께/XSN
월초쯤	월/NNB + 초/NNB + 쯤/XSN
월총선	월/NNB + 총선/NNG
월투쟁	월/NNB + 투쟁/NNG
월하순	월/NNB + 하순/NNG
월항쟁	월/NNB + 항쟁/NNG
월혁명	월/NNB + 혁명/NNG
월현재	월/NNB + 현재/NNG
월협상	월/NNB + 협상/NNG
위권내	위/NNB + 권/XSN + 내/NNG
위끼리	위/NNB + 끼리/XSN
위수상	위/NNB + 수상/NNG
위안씩	위안/NNB + 씩/XSN
위원회	위원회/NNG
위입상	위/NNB + 입상/NNG
위자리	위/NNB + 자리/NNG
위종목	위/NNB + 종목/NNG
위차지	위/NNB + 차지/NNG
육십오	육십오/NR
음보격	음보/NNG + 격/NNB
음음악	음/NNG + 음악/NNG
音音樂	音音樂/SH
가구분	가구/NNG + 분/XSN
이년도	이/NR + 년도/NNB
이모님	이모/NNG + 님/XSN
이백만	이백/NR + 만/NR
경기당	경기/NNG + 당/XSN
이십년	이십/NR + 년/NNB
공시절	공/NNG + 시절/NNG
이튿날	이튿날/NNG
경기씩	경기/NNG + 씩/XSN
인1실	인/NNG + 1/SN + 실/NNG
인1조	인/NNG + 1/SN + 조/NNG
인2역	인/NNG + 2/SN + 역/NNG
인가구	인/NNG + 가구/NNG
인가족	인/NNG + 가족/NNG
인그룹	인/NNG + 그룹/NNG
당체제	당/NNG + 체제/NNG
인사색	인/NNG + 사색/NNG
인소위	인/NNG + 소위/NNG
인승무	인/NNB + 승무/NNG
인시위	인/NNG + 시위/NNG
인위원	인/NNG + 위원/NNG
인이상	인/NNG + 이상/NNG
경기째	경기/NNG + 째/XSN
인지배	인/NNG + 지배/NNG
인치대	인치/NNB + 대/XSN
인치형	인치/NNB + 형/XSN
면짜리	면/NNG + 짜리/XSN
인특위	인/NNG + 특위/NNG
당총무	당/NNG + 총무/NNG
년기준	년/NNB + 기준/NNG
일간씩	일/NNB + 간/NNG + 씩/XSN
일경기	일/NNB + 경기/NNG
일계획	일/NNB + 계획/NNG
일기도	일/NNB + 기도/NNG
일동안	일/NNB + 동안/NNG
일무공	일/NNB + 무공/NNP
일미국	일/NNB + 미국/NNP
일불공	일/NNB + 불공/NNG
일사이	일/NR + 사이/NNG
일새벽	일/NNB + 새벽/NNG
일신행	일/NNB + 신행/NNG
일오전	일/NNB + 오전/NNG
일오후	일/NNB + 오후/NNG
일유가	일/NNB + 유가/NNG
일이내	일/NNB + 이내/NNG
일입주	일/NNB + 입주/NNG
일작전	일/NNB + 작전/NNG
일전쟁	일/NNB + 전쟁/NNG
일전쯤	일/NNB + 전/NNG + 쯤/XSN
일전후	일/NNB + 전후/NNG
일정도	일/NNB + 정도/NNG
일짜리	일/NNB + 짜리/XSN
일째쯤	일/NNB + 째/XSN + 쯤/XSN
명구속	명/NNB + 구속/NNG
角關係	角關係/SH
자개입	자/NNB + 개입/NNG
명구조	명/NNB + 구조/NNG
자관계	자/NNB + 관계/NNG
자대결	자/NNG + 대결/NNG
자리수	자리/NNG + 수/NNG
자연대	자연대/NNG
자인수	자/NNG + 인수/NNG
자제분	자제/NNG + 분/NNB
자주의	자/NNB + 주의/NNG
자주의	자/NNG + 주의/NNG
자짜리	자/NNB + 짜리/XSN
자책점	자책점/NNG
자토론	자/NNG + 토론/NNG
자회담	자/NNB + 회담/NNG
자회동	자/NNG + 회동/NNG
작품당	작품/NNG + 당/XSN
명내외	명/NNB + 내외/NNG
장관실	장관실/NNG
장수사	장/NNG + 수사/NNG
장짜리	장/NNB + 짜리/XSN
년초쯤	년/NNB + 초/NNB + 쯤/XSN
전대회	전대회/NNG
전시관	전시관/NNG
전시실	전시실/NNG
전전승	전/NNG + 전승/NNG
전짜리	전/NNB + 짜리/XSN
전짜리	전/NNG + 짜리/XSN
점대별	점/NNB + 대/XSN + 별/XSN
점라인	점/NNB + 라인/NNG
점슛왕	점/NNB + 슛/NNG + 왕/NNG
점이상	점/NNB + 이상/NNG
점일기	점/NNG + 일기/NNG
점짜리	점/NNB + 짜리/XSN
점홈런	점/NNB + 홈런/NNG
정비창	정비창/NNG
고지선	고지/NNG + 선/NNG
대비극	대/NNG + 비극/NNG
대선거	대/NNB + 선거/NNG
권분립	권/XSN + 분립/NNG
대소녀	대/NNB + 소녀/NNG
권짜리	권/NNB + 짜리/XSN
명부상	명/NNB + 부상/NNG
그램쯤	그램/NNB + 쯤/NNG
代소년	代/SH + 소년/NNG
조1항	조/NNB + 1/SN + 항/NNG
경기차	경기/NNG + 차/NNG
그루씩	그루/NNB + 씩/XSN
그릇씩	그릇/NNG + 씩/XSN
극체제	극/NNG + 체제/NNG
極體制	極體制/SH
개종목	개/NNB + 종목/NNG
근짜리	근/NNB + 짜리/XSN
글로벌	글로벌/NNG
명사망	명/NNB + 사망/NNG
年基準	年基準/SH
대어족	대/XSN + 어족/NNG
개국간	개국/NNB + 간/NNB
가지중	가지/NNB + 중/NNB
대여자	대/NNB + 여자/NNG
